urban_system_id,city,country_code,country_name,environment_score,environment_pm25_score,environment_pm25_year,environment_green_score,environment_green_year,mobility_score,public_transport_score,public_transport_year,economic_opportunity_score,employment_score,employment_year,unemployment_score,unemployment_year,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
DE036,Kiel,DE,Germany,88.5,89.51,2025,87.48,2021,58.89,58.89,2023,56.86,68.63,2021,45.09,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE037,Saarbrücken,DE,Germany,72.06,48.3,2025,95.83,2021,93.5,93.5,2023,45.2,73.99,2021,16.42,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE039,Koblenz,DE,Germany,74.02,57.02,2025,91.01,2021,70.82,70.82,2023,70.83,76.75,2021,64.91,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE040,Rostock,DE,Germany,82.2,72.67,2025,91.73,2021,55.17,55.17,2023,57.71,77.68,2021,37.74,2021,68.75,2023,87.5,2023,92.5,2023,17.5,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE041,Kaiserslautern,DE,Germany,65.73,48.15,2025,83.31,2021,61.8,61.8,2023,53.56,69.37,2021,37.74,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE042,Iserlohn,DE,Germany,73.41,48.74,2025,98.07,2021,87.0,87.0,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE045,Wilhelmshaven,DE,Germany,,,,,,40.05,40.05,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE047,Tübingen,DE,Germany,52.77,26.0,2025,79.53,2021,88.99,88.99,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE048,Villingen-Schwenningen,DE,Germany,,,,,,3.45,3.45,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE049,Flensburg,DE,Germany,95.66,94.53,2025,96.79,2021,60.48,60.48,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE050,Marburg,DE,Germany,,,,,,92.04,92.04,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE051,Konstanz,DE,Germany,36.15,17.73,2025,54.57,2021,92.04,92.04,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE052,Neumünster,DE,Germany,,83.16,2025,,,55.17,55.17,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE053,Brandenburg an der Havel,DE,Germany,,,,,,44.3,44.3,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE054,Gießen,DE,Germany,70.46,49.19,2025,91.73,2021,92.04,92.04,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE056,Bayreuth,DE,Germany,66.52,62.48,2025,70.55,2021,31.43,31.43,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE057,Celle,DE,Germany,,,,,,57.43,57.43,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE058,Aschaffenburg,DE,Germany,66.06,39.59,2025,92.54,2021,81.7,81.7,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE059,Bamberg,DE,Germany,64.36,76.07,2025,52.65,2021,57.43,57.43,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE060,Plauen,DE,Germany,,65.29,2025,,,65.52,65.52,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE061,Neubrandenburg,DE,Germany,,,,,,54.11,54.11,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
